"id","shopName","category","phone","website","address","rating","reviews","siteStatus","status","ownerName","email","techStack","opportunity","services","issues","pitch","socials","mapsUrl","dateAdded"
"lead_1788191082801_0_9pb2b","Unknown Business","Local Business","21 37120863","None","Not Found","N/A","0","Missing Website","New","Not Listed","Not Found","None","Custom High-Converting Website","Custom High-Converting Website; Google Business Profile Setup; WhatsApp Auto-Responder Widget","No official website was found on Google Maps for this business.","Hi Unknown Business Team,

I was looking for local business services in your area on Google Maps and noticed you don't have a website linked for Unknown Business.

Over 70% of prospective clients visit a website before calling or booking a local business. Without one, prospective clients end up choosing competitors.

Here is what we can build for you:
  • Custom High-Converting Website
  • Google Business Profile Setup
  • WhatsApp Auto-Responder Widget

Would you be open to seeing a free custom website mockup for Unknown Business? I can put one together with no obligation.","","https://www.google.com/maps/search/clothing","2026-08-31 15:44:45"
"lead_1788191082801_1_67u85","S&B fashion","Clothing store","Not Found","None"," basement b54, Jama mall, Muhammad Ali Jinnah Rd, KMC Work Area, Karachi, Pakistan","N/A","355","Missing Website","New","Not Listed","Not Found","None","Custom High-Converting Website","Custom High-Converting Website; Google Business Profile Setup; WhatsApp Auto-Responder Widget","No official website was found on Google Maps for this business.","Hi S&B fashion Team,

I was looking for clothing store services in your area on Google Maps and noticed you don't have a website linked for S&B fashion.

Over 70% of prospective clients visit a website before calling or booking a local business. Without one, prospective clients end up choosing competitors.

Here is what we can build for you:
  • Custom High-Converting Website
  • Google Business Profile Setup
  • WhatsApp Auto-Responder Widget

Would you be open to seeing a free custom website mockup for S&B fashion? I can put one together with no obligation.","","https://www.google.com/maps/place/S%26B+fashion/@24.8664303,67.0206765,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb33fd0fd9e0b6f:0x273ef80cc2a0259!8m2!3d24.8588428!4d67.0135652!15sCghjbG90aGluZ1oKIghjbG90aGluZ5IBDmNsb3RoaW5nX3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5DTjFwVGRtTkJFQUXgAQD6AQUIlgQQRg!16s%2Fg%2F11gs5zbg3p?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
"lead_1788191084238_2_6bi4s","BILAL CORNER MEN CLOTHING","Men's clothing store","+92 312 3707225","http://www.facebook.com/bilalcorner"," Kohinoor Electronc Market, Shop 37 Marshal St, near jublee Cloth market, Preedy Quarters Karachi, Pakistan","N/A","4","Inaccessible / Down","New","Not Listed","Not Found","Unknown","Website Rebuild & High-Availability Hosting Restoral","Website Rebuild & High-Availability Hosting Restoral; 24/7 Uptime & Performance Monitoring","Website did not respond (ERR_BAD_REQUEST) — site appears to be offline or down.","Hi BILAL CORNER MEN CLOTHING Team,

I was researching top men's clothing store businesses in your area and checked out your site (http://www.facebook.com/bilalcorner). I noticed a few technical items that are likely hurting your visitor conversion rate:

  • Website did not respond (ERR_BAD_REQUEST) — site appears to be offline or down.

Here is how we can address these issues to help convert more website visitors into paying clients:
  • Website Rebuild & High-Availability Hosting Restoral
  • 24/7 Uptime & Performance Monitoring

Would you be open to a quick 5-minute review or seeing a free design draft for BILAL CORNER MEN CLOTHING? Let me know if you'd like to take a look!","","https://www.google.com/maps/place/BILAL+CORNER+MEN+CLOTHING/@24.8651913,66.9836667,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb33e148735cc53:0x8e172b09761853f4!8m2!3d24.8651913!4d67.0197156!15sCghjbG90aGluZ1oKIghjbG90aGluZ5IBE21lbnNfY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11bzx8y6b4?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
"lead_1788191082911_3_0dslz","Zaraan collections","Shopping mall","+92 324 2935039","http://www.zaraancollections.com.pk/"," Taha masjid, Ramswamy Ramswami, Karachi, 74400, Pakistan","N/A","82","Inaccessible / Down","New","Not Listed","Not Found","Unknown","Website Rebuild & High-Availability Hosting Restoral","Website Rebuild & High-Availability Hosting Restoral; 24/7 Uptime & Performance Monitoring","Website did not respond (ENOTFOUND) — site appears to be offline or down.","Hi Zaraan collections Team,

I was researching top shopping mall businesses in your area and checked out your site (http://www.zaraancollections.com.pk/). I noticed a few technical items that are likely hurting your visitor conversion rate:

  • Website did not respond (ENOTFOUND) — site appears to be offline or down.

Here is how we can address these issues to help convert more website visitors into paying clients:
  • Website Rebuild & High-Availability Hosting Restoral
  • 24/7 Uptime & Performance Monitoring

Would you be open to a quick 5-minute review or seeing a free design draft for Zaraan collections? Let me know if you'd like to take a look!","","https://www.google.com/maps/place/Zaraan+collections/@24.8651913,66.9836667,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb33e166da5fb09:0xef7e42ec409942b3!8m2!3d24.8684128!4d67.0158943!15sCghjbG90aGluZ5IBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11f12p42dv?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
"lead_1788191084862_4_h9vqt","Rich Brand Hadi | Clothing & outfits store","Clothing store","+92 336 2007414","http://www.worthit.fit/"," G3c mateen shopper's gallery, Tariq Rd, opp. rehmania masjid, Block 2 P.E.C.H.S., Karachi, 75400, Pakistan","N/A","54","Inaccessible / Down","New","Not Listed","Not Found","Unknown","Website Rebuild & High-Availability Hosting Restoral","Website Rebuild & High-Availability Hosting Restoral; 24/7 Uptime & Performance Monitoring","Website did not respond (ERR_BAD_REQUEST) — site appears to be offline or down.","Hi Rich Brand Hadi | Clothing & outfits store Team,

I was researching top clothing store businesses in your area and checked out your site (http://www.worthit.fit/). I noticed a few technical items that are likely hurting your visitor conversion rate:

  • Website did not respond (ERR_BAD_REQUEST) — site appears to be offline or down.

Here is how we can address these issues to help convert more website visitors into paying clients:
  • Website Rebuild & High-Availability Hosting Restoral
  • 24/7 Uptime & Performance Monitoring

Would you be open to a quick 5-minute review or seeing a free design draft for Rich Brand Hadi | Clothing & outfits store? Let me know if you'd like to take a look!","","https://www.google.com/maps/place/Rich+Brand+Hadi+%7C+Clothing+%26+outfits+store/@24.8664303,67.0206765,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb33f323b9dbea5:0xb6ed5e93a714a418!8m2!3d24.8664303!4d67.0567254!15sCghjbG90aGluZ1oKIghjbG90aGluZ5IBDmNsb3RoaW5nX3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5UVU52YUhSdGJHSkJFQUXgAQD6AQUInwEQRg!16s%2Fg%2F11mwzllyb5?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
"lead_1788191084097_5_c4h7f","MTJ Clothing Store","Clothing store","+92 317 3173901","https://mtjonline.com/"," V3H7+6PW, Tariq Rd, Delhi Society Delhi CHS Karachi, Pakistan","N/A","396","Outdated Site","New","Not Listed","cs@mtj.com.pk","Shopify, React / Next.js","Modern UI/UX Web Redesign","Modern UI/UX Web Redesign","Outdated design/copyright (references 2023) — gives visitors an unmaintained impression.","Hi MTJ Clothing Store Team,

I was researching top clothing store businesses in your area and checked out your site (https://mtjonline.com/). I noticed a few technical items that are likely hurting your visitor conversion rate:

  • Outdated design/copyright (references 2023) — gives visitors an unmaintained impression.

Here is how we can address these issues to help convert more website visitors into paying clients:
  • Modern UI/UX Web Redesign

Would you be open to a quick 5-minute review or seeing a free design draft for MTJ Clothing Store? Let me know if you'd like to take a look!","https://www.instagram.com/mtjonlineofficial/, https://www.facebook.com/mtjonlineofficial/","https://www.google.com/maps/place/MTJ+Clothing+Store/@24.8664303,67.0206765,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb33fe147fd8483:0x8e8ae5280c32c6f8!8m2!3d24.8781223!4d67.064317!15sCghjbG90aGluZ1oKIghjbG90aGluZ5IBDmNsb3RoaW5nX3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJLZDNZMlJWTlJFQUXgAQD6AQQIABBB!16s%2Fg%2F11px1fhzzt?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
"lead_1788191082801_6_ak5fp","SHAKEEL BROTHERS OFFICIAL","Clothing store","+92 307 7828828","None"," GROUND FLOOR, CENTRAL MALL SHOP NO#G-117,118,83, Marston Rd, near FOOD COURT, behind GUL-PLAZA, Preedy Quarters, Karachi, 75600, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","Custom High-Converting Website","Custom High-Converting Website; Google Business Profile Setup; WhatsApp Auto-Responder Widget","No official website was found on Google Maps for this business.","Hi SHAKEEL BROTHERS OFFICIAL Team,

I was looking for clothing store services in your area on Google Maps and noticed you don't have a website linked for SHAKEEL BROTHERS OFFICIAL.

Over 70% of prospective clients visit a website before calling or booking a local business. Without one, prospective clients end up choosing competitors.

Here is what we can build for you:
  • Custom High-Converting Website
  • Google Business Profile Setup
  • WhatsApp Auto-Responder Widget

Would you be open to seeing a free custom website mockup for SHAKEEL BROTHERS OFFICIAL? I can put one together with no obligation.","","https://www.google.com/maps/place/SHAKEEL+BROTHERS+OFFICIAL/@24.8664303,67.0206765,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb33fe028d344cf:0xa9c4a4b16efdf452!8m2!3d24.8649408!4d67.021632!15sCghjbG90aGluZ5IBDmNsb3RoaW5nX3N0b3Jl4AEA!16s%2Fg%2F11vb9lz705?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
"lead_1788191083217_7_9xfxp","Urooj Garments","Women's clothing store","+92 300 9203983","https://uroojgarments.com/"," Plot 457/16, Mamachal Compound Shoe market, Karachi, Hiranand St, Millat Nagar Hashim Khan Haq Nagri, Karachi, 75300, Pakistan","N/A","0","Inaccessible / Down","New","Not Listed","Not Found","Unknown","Website Rebuild & High-Availability Hosting Restoral","Website Rebuild & High-Availability Hosting Restoral; 24/7 Uptime & Performance Monitoring","Website did not respond (ENOTFOUND) — site appears to be offline or down.","Hi Urooj Garments Team,

I was researching top women's clothing store businesses in your area and checked out your site (https://uroojgarments.com/). I noticed a few technical items that are likely hurting your visitor conversion rate:

  • Website did not respond (ENOTFOUND) — site appears to be offline or down.

Here is how we can address these issues to help convert more website visitors into paying clients:
  • Website Rebuild & High-Availability Hosting Restoral
  • 24/7 Uptime & Performance Monitoring

Would you be open to a quick 5-minute review or seeing a free design draft for Urooj Garments? Let me know if you'd like to take a look!","","https://www.google.com/maps/place/Urooj+Garments/@24.8664303,67.0206765,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb339579fdccab1:0xc2235a039532ae3c!8m2!3d24.8716969!4d67.019125!15sCghjbG90aGluZ1oKIghjbG90aGluZ5IBFXdvbWVuc19jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11xgw6pn3f?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
"lead_1788191085737_8_syghi","QC - Qurat Clothing","Clothing store","+92 300 8279289","https://quratclothing.com/"," 10 Tariq Rd, Delhi Society Delhi CHS P.E.C.H.S., Karachi, 75500, Pakistan","N/A","64","Active Site","New","Not Listed","info@quratclothing.com","Custom Web Engine","Local SEO Ranking Growth","Local SEO Ranking Growth; Automated Lead Nurturing CRM","No major technical flaws found — site is secure and responsive.","Hi QC - Qurat Clothing Team,

I was researching top clothing store businesses in your area and checked out your site (https://quratclothing.com/). I noticed a few technical items that are likely hurting your visitor conversion rate:

  • No major technical flaws found — site is secure and responsive.

Here is how we can address these issues to help convert more website visitors into paying clients:
  • Local SEO Ranking Growth
  • Automated Lead Nurturing CRM

Would you be open to a quick 5-minute review or seeing a free design draft for QC - Qurat Clothing? Let me know if you'd like to take a look!","https://www.facebook.com/pg/QuratClothing, https://www.instagram.com/qc.qurat.clothing/, https://www.instagram.com/qc.quratclothing/","https://www.google.com/maps/place/QC+-+Qurat+Clothing/@24.8716969,66.9830761,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb33f5bb57b4c89:0xffdd55a357910e8!8m2!3d24.8766327!4d67.0628058!15sCghjbG90aGluZ1oKIghjbG90aGluZ5IBDmNsb3RoaW5nX3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU4zYlY5TE9IcDNSUkFC4AEA-gEECAAQSA!16s%2Fg%2F11rfcbyvlk?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
"lead_1788191082801_9_eavot","Laibaz Clothing","Women's clothing store","+92 345 2332215","None"," Shop number G-21, Sakhi wahab textile center, Tariq Rd, near Mateen Center, P.E.C.H.S Block 2 Block 2 P.E.C.H.S., Karachi, Pakistan","N/A","16","Missing Website","New","Not Listed","Not Found","None","Custom High-Converting Website","Custom High-Converting Website; Google Business Profile Setup; WhatsApp Auto-Responder Widget","No official website was found on Google Maps for this business.","Hi Laibaz Clothing Team,

I was looking for women's clothing store services in your area on Google Maps and noticed you don't have a website linked for Laibaz Clothing.

Over 70% of prospective clients visit a website before calling or booking a local business. Without one, prospective clients end up choosing competitors.

Here is what we can build for you:
  • Custom High-Converting Website
  • Google Business Profile Setup
  • WhatsApp Auto-Responder Widget

Would you be open to seeing a free custom website mockup for Laibaz Clothing? I can put one together with no obligation.","","https://www.google.com/maps/place/Laibaz+Clothing/@24.8766327,67.0267569,14z/data=!4m10!1m2!2m1!1sclothing!3m6!1s0x3eb33e923f3c815b:0xa134967c29dc6707!8m2!3d24.8726789!4d67.0605643!15sCghjbG90aGluZ1oKIghjbG90aGluZ5IBFXdvbWVuc19jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11bx1hsnm1?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D","2026-08-31 15:44:45"
